id,Geographic Area Name,Population 18 to 24 years,Population 18 to 24 years w/ Bachelor's degree or higher,Population 25 years and over,Population 25 years and over w/ Bachelor's degree or higher,Degree_percent
0500000US17137,"Morgan County, Illinois",3855,193,24001,4782,0.178597071
0500000US17139,"Moultrie County, Illinois",1086,98,9890,1930,0.184766764
0500000US17141,"Ogle County, Illinois",3982,277,35634,7139,0.187197092
0500000US17143,"Peoria County, Illinois",16926,1716,123650,37535,0.279215513
0500000US17145,"Perry County, Illinois",1966,112,15340,1796,0.11025078
0500000US17147,"Piatt County, Illinois",1133,73,11592,3238,0.260196464
0500000US17149,"Pike County, Illinois",1204,74,11006,1666,0.142506143
0500000US17151,"Pope County, Illinois",220,0,3421,460,0.126338918
0500000US17153,"Pulaski County, Illinois",420,3,3984,490,0.111943688
0500000US17155,"Putnam County, Illinois",381,26,4226,618,0.13978728
0500000US17157,"Randolph County, Illinois",2501,87,23723,3035,0.119051251
0500000US17159,"Richland County, Illinois",1169,52,11100,2360,0.196593039
0500000US17161,"Rock Island County, Illinois",12807,1190,99943,23144,0.215822616
0500000US17163,"St. Clair County, Illinois",22869,1753,178139,48663,0.250815888
0500000US17165,"Saline County, Illinois",1846,25,17116,3039,0.161586331
0500000US17167,"Sangamon County, Illinois",16381,2238,136666,46708,0.319810254
0500000US17169,"Schuyler County, Illinois",469,54,5250,954,0.17625459
0500000US17171,"Scott County, Illinois",358,45,3559,534,0.147817207
0500000US17173,"Shelby County, Illinois",1565,93,15598,2633,0.158830041
0500000US17175,"Stark County, Illinois",407,21,3894,680,0.162985352
0500000US17177,"Stephenson County, Illinois",3629,131,31980,6159,0.176640737
0500000US17179,"Tazewell County, Illinois",9746,938,93423,24656,0.248078396
0500000US17181,"Union County, Illinois",1187,71,12368,2816,0.212984139
0500000US17183,"Vermilion County, Illinois",6415,193,53310,8032,0.137714525
0500000US17185,"Wabash County, Illinois",861,52,8148,1398,0.160950161
0500000US17187,"Warren County, Illinois",2155,107,11307,2599,0.201010251
0500000US17189,"Washington County, Illinois",953,45,10143,2091,0.192501802
0500000US17191,"Wayne County, Illinois",1178,67,11559,1684,0.137473502
0500000US17193,"White County, Illinois",939,69,9994,1520,0.145339797
0500000US17195,"Whiteside County, Illinois",4491,321,39295,7259,0.173114694
0500000US17197,"Will County, Illinois",63274,7628,448262,152229,0.31250391
0500000US17199,"Williamson County, Illinois",5028,266,47527,10735,0.209323566
0500000US17201,"Winnebago County, Illinois",24072,1990,194429,43910,0.210067688
0500000US17203,"Woodford County, Illinois",3273,324,25975,8199,0.29140454
0500000US18001,"Adams County, Indiana",3021,204,21160,3245,0.142632645
0500000US18003,"Allen County, Indiana",34068,2928,239816,67527,0.257243943
0500000US18005,"Bartholomew County, Indiana",6753,1220,55456,17911,0.30752785
0500000US18007,"Benton County, Indiana",673,17,5825,985,0.154201293
0500000US18009,"Blackford County, Indiana",914,64,8635,1176,0.129856529
0500000US18011,"Boone County, Indiana",4775,1040,42286,20445,0.456535135
0500000US18013,"Brown County, Indiana",994,99,11289,3088,0.2594643
0500000US18015,"Carroll County, Indiana",1510,91,13949,2401,0.161200595
0500000US18017,"Cass County, Indiana",3217,132,25948,3616,0.128510201
0500000US18019,"Clark County, Indiana",9437,656,79800,16676,0.194224369
0500000US18021,"Clay County, Indiana",2020,69,18193,3061,0.154850839
0500000US18023,"Clinton County, Indiana",2636,210,21208,3530,0.156852877
0500000US18025,"Crawford County, Indiana",767,18,7464,854,0.105940955
0500000US18027,"Daviess County, Indiana",2906,96,20396,2808,0.124624496
0500000US18029,"Dearborn County, Indiana",4020,364,34175,7378,0.202696688
0500000US18031,"Decatur County, Indiana",2243,253,17800,3493,0.186898169
0500000US18033,"DeKalb County, Indiana",3513,314,28705,5082,0.167484015
0500000US18035,"Delaware County, Indiana",22842,2026,71116,17253,0.205187424
0500000US18037,"Dubois County, Indiana",3506,325,28437,6325,0.208183327
0500000US18039,"Elkhart County, Indiana",18112,982,128815,24770,0.175270713
0500000US18041,"Fayette County, Indiana",1835,94,16262,1894,0.109852462
0500000US18043,"Floyd County, Indiana",6677,585,52497,15510,0.271994457
0500000US18045,"Fountain County, Indiana",1302,53,11530,1728,0.138793641
0500000US18047,"Franklin County, Indiana",1838,95,15588,3083,0.18237117
0500000US18049,"Fulton County, Indiana",1554,87,13899,2003,0.135248819
0500000US18051,"Gibson County, Indiana",2861,104,22862,3989,0.159118299
0500000US18053,"Grant County, Indiana",8666,565,44364,7584,0.153667735
0500000US18055,"Greene County, Indiana",2352,90,22800,3369,0.137523855
0500000US18057,"Hamilton County, Indiana",23582,5217,204605,118226,0.540972974
0500000US18059,"Hancock County, Indiana",5943,560,50430,15304,0.281411314
0500000US18061,"Harrison County, Indiana",2959,220,27814,4836,0.164299873
0500000US18063,"Hendricks County, Indiana",12897,1422,106864,38805,0.335893989
0500000US18065,"Henry County, Indiana",4039,196,34427,5726,0.153954141
0500000US18067,"Howard County, Indiana",6659,480,57038,12110,0.197654521
0500000US18069,"Huntington County, Indiana",3558,312,24902,4727,0.177055517
0500000US18071,"Jackson County, Indiana",3342,176,29782,4626,0.144970414
0500000US18073,"Jasper County, Indiana",3102,213,22363,3323,0.138857255
0500000US18075,"Jay County, Indiana",1772,100,13782,1460,0.100295744
0500000US18077,"Jefferson County, Indiana",3373,144,22146,3972,0.161291587
0500000US18079,"Jennings County, Indiana",2421,264,18797,2082,0.1105665
0500000US18081,"Johnson County, Indiana",12780,1720,100767,32041,0.297330621
0500000US18083,"Knox County, Indiana",4756,163,24571,4027,0.142871756
0500000US18085,"Kosciusko County, Indiana",7307,552,52331,11879,0.208440927
0500000US18087,"LaGrange County, Indiana",3646,59,22476,2333,0.091570324
0500000US18089,"Lake County, Indiana",43426,3011,327083,72259,0.20315296
0500000US18091,"LaPorte County, Indiana",9271,640,77246,13808,0.166996082
0500000US18093,"Lawrence County, Indiana",3367,217,32142,4996,0.146807852
0500000US18095,"Madison County, Indiana",11037,541,90049,16174,0.165354253
0500000US18097,"Marion County, Indiana",89422,11125,621033,188718,0.281288752
0500000US18099,"Marshall County, Indiana",4083,285,30762,6293,0.188778878
0500000US18101,"Martin County, Indiana",825,63,7089,953,0.128380086
0500000US18103,"Miami County, Indiana",3208,177,24972,3173,0.118878637
0500000US18105,"Monroe County, Indiana",39123,5595,83259,37962,0.355910183
0500000US18107,"Montgomery County, Indiana",3627,181,25905,4687,0.164838142
0500000US18109,"Morgan County, Indiana",5736,247,47887,8089,0.155455681
0500000US18111,"Newton County, Indiana",1043,138,9935,1115,0.114137366
0500000US18113,"Noble County, Indiana",4012,233,31431,4481,0.133002285
0500000US18115,"Ohio County, Indiana",362,9,4393,603,0.128706625
0500000US18117,"Orange County, Indiana",1499,31,13515,1660,0.112628214
0500000US18119,"Owen County, Indiana",1483,135,14931,1883,0.122943828
0500000US18121,"Parke County, Indiana",1308,138,12017,1468,0.120525328
0500000US18123,"Perry County, Indiana",1439,77,13582,2028,0.140137141
0500000US18125,"Pike County, Indiana",859,102,8753,1202,0.135663754
0500000US18127,"Porter County, Indiana",15560,1493,114687,32394,0.260174898
0500000US18129,"Posey County, Indiana",1956,153,17941,3722,0.194752978
0500000US18131,"Pulaski County, Indiana",943,73,8821,1104,0.120544859
0500000US18133,"Putnam County, Indiana",5532,214,24785,3984,0.138470165
0500000US18135,"Randolph County, Indiana",1883,76,17359,2487,0.133198212
0500000US18137,"Ripley County, Indiana",2445,193,19227,3480,0.169481358
0500000US18139,"Rush County, Indiana",1390,43,11525,1500,0.11947348
0500000US18141,"St. Joseph County, Indiana",29712,3372,175332,51236,0.266323326
0500000US18143,"Scott County, Indiana",1925,9,16354,1954,0.107390995
0500000US18145,"Shelby County, Indiana",3484,130,30745,5977,0.178415963
0500000US18147,"Spencer County, Indiana",1551,82,14395,2143,0.139533425
0500000US18149,"Starke County, Indiana",1782,147,15775,1700,0.105200205
0500000US18151,"Steuben County, Indiana",3645,265,23651,4879,0.188452521
0500000US18153,"Sullivan County, Indiana",1733,35,14876,1607,0.098862063
0500000US18155,"Switzerland County, Indiana",757,0,7188,711,0.089490245
0500000US18157,"Tippecanoe County, Indiana",45947,6287,104357,39360,0.303697839
0500000US18159,"Tipton County, Indiana",1182,74,10905,2507,0.213535203
0500000US18161,"Union County, Indiana",568,50,5023,849,0.160794133
0500000US18163,"Vanderburgh County, Indiana",18208,2091,123744,32555,0.244068417
0500000US18165,"Vermillion County, Indiana",1170,27,10980,1469,0.123127572
0500000US18167,"Vigo County, Indiana",16382,1459,69096,16918,0.214990992
0500000US18169,"Wabash County, Indiana",3258,216,21712,3997,0.168722467
0500000US18171,"Warren County, Indiana",555,39,5879,1109,0.178427106
0500000US18173,"Warrick County, Indiana",4514,500,42415,12541,0.277887873
0500000US18175,"Washington County, Indiana",2202,155,19216,2535,0.125595294
0500000US18177,"Wayne County, Indiana",6186,218,45691,8312,0.164427396
0500000US18179,"Wells County, Indiana",2164,213,18826,3406,0.172415436
0500000US18181,"White County, Indiana",1838,91,16694,2805,0.156270235
0500000US18183,"Whitley County, Indiana",2568,270,23262,4854,0.198373984
0500000US19001,"Adair County, Iowa",467,35,5114,790,0.147822971
0500000US19003,"Adams County, Iowa",248,2,2700,478,0.162822252
0500000US19005,"Allamakee County, Iowa",1017,85,9688,1792,0.175338627
0500000US19007,"Appanoose County, Iowa",841,39,8917,1523,0.160073786
0500000US19009,"Audubon County, Iowa",403,31,4137,602,0.139427313
0500000US19011,"Benton County, Iowa",1889,84,17671,3999,0.208742331
0500000US19013,"Black Hawk County, Iowa",20466,2007,83685,23964,0.249359104
0500000US19015,"Boone County, Iowa",2125,208,18468,4578,0.232409071
0500000US19017,"Bremer County, Iowa",2977,223,16326,4952,0.268093043
0500000US19019,"Buchanan County, Iowa",1465,73,13964,2875,0.191068767
0500000US19021,"Buena Vista County, Iowa",2347,175,12766,2506,0.177396943
0500000US19023,"Butler County, Iowa",950,70,10404,1823,0.166725383
0500000US19025,"Calhoun County, Iowa",736,20,7023,1371,0.17927568
0500000US19027,"Carroll County, Iowa",1583,185,13798,3070,0.211624732
0500000US19029,"Cass County, Iowa",873,38,9417,1849,0.183381924
0500000US19031,"Cedar County, Iowa",1250,179,12983,2981,0.222019251
0500000US19033,"Cerro Gordo County, Iowa",3466,350,30647,6942,0.21376015
0500000US19035,"Cherokee County, Iowa",759,13,8256,1766,0.19733777
0500000US19037,"Chickasaw County, Iowa",967,137,8334,1412,0.166541232
0500000US19039,"Clarke County, Iowa",661,52,6287,1063,0.160477835
0500000US19041,"Clay County, Iowa",1175,218,11445,2584,0.222028526
0500000US19043,"Clayton County, Iowa",1230,72,12629,2166,0.161483513
0500000US19045,"Clinton County, Iowa",3726,226,32718,6235,0.177285699
0500000US19047,"Crawford County, Iowa",1714,223,11164,1428,0.128203137
0500000US19049,"Dallas County, Iowa",5528,1532,54781,27049,0.473909367
0500000US19051,"Davis County, Iowa",700,46,5584,1145,0.189528962
0500000US19053,"Decatur County, Iowa",1425,84,4863,1143,0.195133588
0500000US19055,"Delaware County, Iowa",1304,231,11838,1964,0.167021762
0500000US19057,"Des Moines County, Iowa",3081,181,27507,5636,0.190172617
0500000US19059,"Dickinson County, Iowa",1165,113,12674,3972,0.295180288
0500000US19061,"Dubuque County, Iowa",9925,1059,64565,19669,0.278265539
0500000US19063,"Emmet County, Iowa",1089,49,6465,1305,0.179242785
0500000US19065,"Fayette County, Iowa",1924,114,13830,2740,0.18116034
0500000US19067,"Floyd County, Iowa",1383,125,10879,2170,0.187163595
0500000US19069,"Franklin County, Iowa",730,122,7131,1264,0.176313446
0500000US19071,"Fremont County, Iowa",448,36,4987,960,0.18325667
0500000US19073,"Greene County, Iowa",643,105,6286,1265,0.197719729
0500000US19075,"Grundy County, Iowa",831,92,8624,2417,0.265362242
0500000US19077,"Guthrie County, Iowa",728,41,7523,1486,0.185068477
0500000US19079,"Hamilton County, Iowa",1084,141,10555,2560,0.23206461
0500000US19081,"Hancock County, Iowa",731,71,7737,1787,0.219414265
0500000US19083,"Hardin County, Iowa",1350,255,12129,2397,0.196750501
0500000US19085,"Harrison County, Iowa",1004,110,9897,1862,0.180900835
0500000US19087,"Henry County, Iowa",1859,148,13675,2744,0.186172267
0500000US19089,"Howard County, Iowa",627,66,6316,942,0.145182198
0500000US19091,"Humboldt County, Iowa",662,64,6682,1393,0.198393246
0500000US19093,"Ida County, Iowa",482,28,4820,917,0.178234628
0500000US19095,"Iowa County, Iowa",1247,119,11205,2142,0.181577257
0500000US19097,"Jackson County, Iowa",1439,110,13632,2568,0.177692257
0500000US19099,"Jasper County, Iowa",2636,142,25949,4634,0.167080637
0500000US19101,"Jefferson County, Iowa",1998,380,12768,4030,0.298659082
0500000US19103,"Johnson County, Iowa",31074,5324,86316,45730,0.434909277
0500000US19105,"Jones County, Iowa",1502,124,14623,2697,0.174945736
0500000US19107,"Keokuk County, Iowa",726,33,7162,1304,0.169497972
0500000US19109,"Kossuth County, Iowa",1190,106,10618,1944,0.173611111
0500000US19111,"Lee County, Iowa",2633,103,24431,3829,0.14528525
0500000US19113,"Linn County, Iowa",20701,2722,148927,49199,0.306087438
0500000US19115,"Louisa County, Iowa",945,37,7703,1096,0.131012951
0500000US19117,"Lucas County, Iowa",644,28,5930,1010,0.157894737
0500000US19119,"Lyon County, Iowa",819,46,7611,1626,0.198339265
0500000US19121,"Madison County, Iowa",1059,39,10767,2569,0.220531033
0500000US19123,"Mahaska County, Iowa",1956,152,14928,3334,0.206467662
0500000US19125,"Marion County, Iowa",3663,225,21612,5702,0.234500495
0500000US19127,"Marshall County, Iowa",3484,331,26676,5065,0.178912467
0500000US19129,"Mills County, Iowa",1094,59,10300,2442,0.219501492
0500000US19131,"Mitchell County, Iowa",818,59,7296,1288,0.166009367
0500000US19133,"Monona County, Iowa",608,64,6398,1067,0.161433057
0500000US19135,"Monroe County, Iowa",552,49,5341,885,0.158493127
0500000US19137,"Montgomery County, Iowa",733,26,7058,1232,0.161468361
0500000US19139,"Muscatine County, Iowa",3610,433,28552,6283,0.20881786
0500000US19141,"O'Brien County, Iowa",1022,55,9612,1910,0.184784653
0500000US19143,"Osceola County, Iowa",400,27,4275,772,0.170909091
0500000US19145,"Page County, Iowa",1145,49,11130,2374,0.197393075
0500000US19147,"Palo Alto County, Iowa",756,59,6268,1569,0.231776765
0500000US19149,"Plymouth County, Iowa",1972,261,16763,3528,0.202241793
0500000US19151,"Pocahontas County, Iowa",438,49,4964,729,0.144020733
0500000US19153,"Polk County, Iowa",41701,6158,313476,113109,0.335795955
0500000US19155,"Pottawattamie County, Iowa",8264,628,63090,13396,0.196541189
0500000US19157,"Poweshiek County, Iowa",2898,198,12081,3028,0.215368182
0500000US19159,"Ringgold County, Iowa",317,11,3474,715,0.191506199
0500000US19161,"Sac County, Iowa",684,56,7001,1441,0.194795055
0500000US19163,"Scott County, Iowa",14681,1560,116340,37088,0.294975615
0500000US19165,"Shelby County, Iowa",795,79,8255,1719,0.198674033
0500000US19167,"Sioux County, Iowa",4808,548,20569,5785,0.249556685
0500000US19169,"Story County, Iowa",30414,3033,50291,25714,0.356198501
0500000US19171,"Tama County, Iowa",1359,148,11627,1875,0.155783151
0500000US19173,"Taylor County, Iowa",439,14,4314,642,0.138018094
0500000US19175,"Union County, Iowa",1162,87,8490,1461,0.160381268
0500000US19177,"Van Buren County, Iowa",469,33,5021,710,0.135336976
0500000US19179,"Wapello County, Iowa",3298,284,24075,4322,0.168268001
0500000US19181,"Warren County, Iowa",4737,479,32305,10241,0.28940122
0500000US19183,"Washington County, Iowa",1652,149,14975,3214,0.202261382
0500000US19185,"Wayne County, Iowa",450,11,4362,566,0.119908562
0500000US19187,"Webster County, Iowa",4163,174,24745,4857,0.174034869
0500000US19189,"Winnebago County, Iowa",1069,74,7205,1612,0.203770848
0500000US19191,"Winneshiek County, Iowa",3209,218,13434,3989,0.252778946
0500000US19193,"Woodbury County, Iowa",10162,704,65382,15047,0.208501006
0500000US19195,"Worth County, Iowa",613,92,5268,819,0.154905628
0500000US19197,"Wright County, Iowa",848,108,8889,1573,0.172640444
0500000US20001,"Allen County, Kansas",1161,71,8594,1757,0.187391081
0500000US20003,"Anderson County, Kansas",571,24,5210,913,0.162082685
0500000US20005,"Atchison County, Kansas",2437,217,10065,2208,0.193968965
0500000US20007,"Barber County, Kansas",311,29,3301,605,0.175526024
0500000US20009,"Barton County, Kansas",2308,85,18049,3319,0.167215209
0500000US20011,"Bourbon County, Kansas",1353,92,9568,1972,0.188993682
0500000US20013,"Brown County, Kansas",660,63,6542,1425,0.206609275
0500000US20015,"Butler County, Kansas",5764,390,43560,12644,0.264252696
0500000US20017,"Chase County, Kansas",205,7,1823,394,0.197731755
0500000US20019,"Chautauqua County, Kansas",215,5,2446,411,0.156332206
0500000US20021,"Cherokee County, Kansas",1546,65,13941,2661,0.176018596
0500000US20023,"Cheyenne County, Kansas",192,9,1912,503,0.243346008
0500000US20025,"Clark County, Kansas",135,29,1412,445,0.306399483
0500000US20027,"Clay County, Kansas",498,30,5671,1542,0.2548225
0500000US20029,"Cloud County, Kansas",892,42,6077,1367,0.202181088
0500000US20031,"Coffey County, Kansas",650,56,5839,1337,0.214670982
0500000US20033,"Comanche County, Kansas",98,10,1275,237,0.179898034
0500000US20035,"Cowley County, Kansas",3663,212,23425,4718,0.181999409
0500000US20037,"Crawford County, Kansas",7239,867,23359,6880,0.253186483
0500000US20039,"Decatur County, Kansas",166,8,2160,507,0.221410146
0500000US20041,"Dickinson County, Kansas",1318,129,13106,2893,0.209511925
0500000US20043,"Doniphan County, Kansas",1182,48,5065,980,0.164558988
0500000US20045,"Douglas County, Kansas",28590,4096,68491,34502,0.397585521
0500000US20047,"Edwards County, Kansas",144,5,2095,375,0.169718624
0500000US20049,"Elk County, Kansas",127,2,1893,284,0.141584158
0500000US20051,"Ellis County, Kansas",5186,389,17449,6079,0.285752154
0500000US20053,"Ellsworth County, Kansas",562,53,4544,925,0.191539365
0500000US20055,"Finney County, Kansas",3939,161,21596,3686,0.150655962
0500000US20057,"Ford County, Kansas",3519,21,20438,3605,0.15135451
0500000US20059,"Franklin County, Kansas",2333,119,17003,3315,0.177596194
0500000US20061,"Geary County, Kansas",5482,196,18624,4072,0.177051357
0500000US20063,"Gove County, Kansas",137,24,1923,436,0.223300971
0500000US20065,"Graham County, Kansas",128,10,1901,499,0.250862494
0500000US20067,"Grant County, Kansas",671,0,4530,697,0.13401269
0500000US20069,"Gray County, Kansas",511,63,3785,795,0.19972067
0500000US20071,"Greeley County, Kansas",107,18,782,227,0.275590551
0500000US20073,"Greenwood County, Kansas",375,24,4466,877,0.186118571
0500000US20075,"Hamilton County, Kansas",232,5,1582,288,0.161521499
0500000US20077,"Harper County, Kansas",346,38,3938,674,0.166199813
0500000US20079,"Harvey County, Kansas",3369,305,22635,7027,0.281956622
0500000US20081,"Haskell County, Kansas",374,0,2491,405,0.141361257
0500000US20083,"Hodgeman County, Kansas",144,3,1307,371,0.257753274
0500000US20085,"Jackson County, Kansas",1002,104,9003,1921,0.202398801
0500000US20087,"Jefferson County, Kansas",1273,71,13228,2899,0.204813461
0500000US20089,"Jewell County, Kansas",171,25,2199,372,0.167510549
0500000US20091,"Johnson County, Kansas",46093,9415,393634,217617,0.51630216
0500000US20093,"Kearny County, Kansas",412,13,2381,378,0.139992839
0500000US20095,"Kingman County, Kansas",532,40,5268,1273,0.22637931
0500000US20097,"Kiowa County, Kansas",330,31,1625,453,0.247570332
0500000US20099,"Labette County, Kansas",1642,119,13852,2462,0.166580612
0500000US20101,"Lane County, Kansas",122,6,1120,242,0.199677939
0500000US20103,"Leavenworth County, Kansas",6815,741,54089,17127,0.293379745
0500000US20105,"Lincoln County, Kansas",232,2,2160,488,0.204849498
0500000US20107,"Linn County, Kansas",635,8,6787,1086,0.147399623
0500000US20109,"Logan County, Kansas",204,18,1921,338,0.167529412
0500000US20111,"Lyon County, Kansas",5909,562,19969,5460,0.232707319
0500000US20113,"McPherson County, Kansas",2697,276,19320,5600,0.26688468
0500000US20115,"Marion County, Kansas",1173,53,8255,2068,0.22496818
0500000US20117,"Marshall County, Kansas",601,34,6893,1282,0.175607152
0500000US20119,"Meade County, Kansas",419,7,2743,552,0.176786844
0500000US20121,"Miami County, Kansas",2388,167,22418,6200,0.256671773
0500000US20123,"Mitchell County, Kansas",623,53,4182,1056,0.230801249
0500000US20125,"Montgomery County, Kansas",2941,163,22209,4051,0.167554672
0500000US20127,"Morris County, Kansas",323,8,4031,812,0.188332568
0500000US20129,"Morton County, Kansas",218,28,1882,322,0.166666667
0500000US20131,"Nemaha County, Kansas",809,103,6633,1624,0.232061274
0500000US20133,"Neosho County, Kansas",1375,61,10743,2217,0.187984816
0500000US20135,"Ness County, Kansas",131,29,2168,409,0.190517616
0500000US20137,"Norton County, Kansas",428,19,4006,636,0.147722147
0500000US20139,"Osage County, Kansas",1179,72,10969,2039,0.173773461
0500000US20141,"Osborne County, Kansas",242,36,2599,598,0.223160859
0500000US20143,"Ottawa County, Kansas",409,68,4105,963,0.228400532
0500000US20145,"Pawnee County, Kansas",480,25,5037,949,0.176545224
0500000US20147,"Phillips County, Kansas",418,13,3753,836,0.20354831
0500000US20149,"Pottawatomie County, Kansas",1768,71,14937,5149,0.312481293
0500000US20151,"Pratt County, Kansas",982,38,6210,1748,0.248331479
0500000US20153,"Rawlins County, Kansas",140,5,1856,465,0.235470942
0500000US20155,"Reno County, Kansas",5443,237,43231,8881,0.187327937
0500000US20157,"Republic County, Kansas",277,33,3488,855,0.235856574
0500000US20159,"Rice County, Kansas",1230,61,6295,1463,0.202524917
0500000US20161,"Riley County, Kansas",24913,2771,37842,17403,0.321472393
0500000US20163,"Rooks County, Kansas",362,21,3592,862,0.223318159
0500000US20165,"Rush County, Kansas",172,12,2269,525,0.219991807
0500000US20167,"Russell County, Kansas",284,0,5200,1349,0.24598833
0500000US20169,"Saline County, Kansas",4987,391,37041,9701,0.240125631
0500000US20171,"Scott County, Kansas",428,56,3193,794,0.234741784
0500000US20173,"Sedgwick County, Kansas",47993,4779,330375,102042,0.282320387
0500000US20175,"Seward County, Kansas",2374,81,13090,1459,0.099586136
0500000US20177,"Shawnee County, Kansas",15054,1422,120383,37093,0.284375761
0500000US20179,"Sheridan County, Kansas",68,0,1826,390,0.205913411
0500000US20181,"Sherman County, Kansas",524,34,4017,768,0.176613081
0500000US20183,"Smith County, Kansas",176,21,2760,527,0.186648501
0500000US20185,"Stafford County, Kansas",306,22,2919,697,0.222945736
0500000US20187,"Stanton County, Kansas",143,32,1359,262,0.195739015
0500000US20189,"Stevens County, Kansas",403,12,3596,440,0.113028257
0500000US20191,"Sumner County, Kansas",1813,151,15664,3477,0.207587114
0500000US20193,"Thomas County, Kansas",1051,0,5003,1275,0.210604559
0500000US20195,"Trego County, Kansas",220,26,2099,478,0.217335058
0500000US20197,"Wabaunsee County, Kansas",486,11,4735,1105,0.213752155
0500000US20199,"Wallace County, Kansas",82,15,1098,339,0.3
0500000US20201,"Washington County, Kansas",382,66,3884,788,0.200187529
0500000US20203,"Wichita County, Kansas",106,9,1490,314,0.202380952
0500000US20205,"Wilson County, Kansas",589,40,6085,878,0.137548696
0500000US20207,"Woodson County, Kansas",165,12,2334,314,0.130452181
0500000US20209,"Wyandotte County, Kansas",14569,1102,103749,18048,0.161851958
0500000US21001,"Adair County, Kentucky",2308,119,13076,2125,0.145865835
0500000US21003,"Allen County, Kentucky",1588,46,14195,2067,0.133878223
0500000US21005,"Anderson County, Kentucky",1608,61,15232,3093,0.187292162
0500000US21007,"Ballard County, Kentucky",639,49,5668,756,0.12763596
0500000US21009,"Barren County, Kentucky",3574,69,29677,4757,0.145138492
0500000US21011,"Bath County, Kentucky",945,23,8211,1015,0.113368283
0500000US21013,"Bell County, Kentucky",2213,76,19141,1713,0.083778215
0500000US21015,"Boone County, Kentucky",10250,1130,84634,26756,0.293895704
0500000US21017,"Bourbon County, Kentucky",1531,104,14032,2647,0.176765405
0500000US21019,"Boyd County, Kentucky",3557,271,34296,6928,0.190183077
0500000US21021,"Boyle County, Kentucky",3949,244,19933,4671,0.205803534
0500000US21023,"Bracken County, Kentucky",601,2,5647,775,0.124359795
0500000US21025,"Breathitt County, Kentucky",1171,11,9244,1323,0.128084494
0500000US21027,"Breckinridge County, Kentucky",1467,84,13986,1546,0.105481136
0500000US21029,"Bullitt County, Kentucky",6654,436,54935,7812,0.133920018
0500000US21031,"Butler County, Kentucky",907,21,8995,1132,0.116441123
0500000US21033,"Caldwell County, Kentucky",877,46,8994,1376,0.144058353
0500000US21035,"Calloway County, Kentucky",7700,520,24024,6974,0.23622494
0500000US21037,"Campbell County, Kentucky",9432,1543,63213,21203,0.313111708
0500000US21039,"Carlisle County, Kentucky",392,6,3395,504,0.134671244
0500000US21041,"Carroll County, Kentucky",762,37,7180,634,0.084487535
0500000US21043,"Carter County, Kentucky",2538,69,18604,2540,0.123403651
0500000US21045,"Casey County, Kentucky",1237,45,10987,1466,0.123609293
0500000US21047,"Christian County, Kentucky",11565,429,41007,7111,0.143422354
0500000US21049,"Clark County, Kentucky",2671,240,25116,5037,0.18990895
0500000US21051,"Clay County, Kentucky",1564,54,14660,1398,0.089497041
0500000US21053,"Clinton County, Kentucky",758,64,7078,718,0.099795814
0500000US21055,"Crittenden County, Kentucky",650,66,6451,847,0.12857344
0500000US21057,"Cumberland County, Kentucky",537,16,4725,618,0.120486507
0500000US21059,"Daviess County, Kentucky",8254,790,67280,15403,0.214380279
0500000US21061,"Edmonson County, Kentucky",1116,39,8715,938,0.099379514
0500000US21063,"Elliott County, Kentucky",579,19,5538,462,0.078633317
0500000US21065,"Estill County, Kentucky",1036,13,10227,1015,0.091272308
0500000US21067,"Fayette County, Kentucky",45469,6636,206261,88572,0.378214754
0500000US21069,"Fleming County, Kentucky",1102,70,9821,1243,0.120205072
0500000US21071,"Floyd County, Kentucky",3024,281,25958,2908,0.110033814
0500000US21073,"Franklin County, Kentucky",4464,254,35279,10514,0.270940795
0500000US21075,"Fulton County, Kentucky",487,46,4365,579,0.128812861
0500000US21077,"Gallatin County, Kentucky",744,5,5806,676,0.103969466
0500000US21079,"Garrard County, Kentucky",1182,92,12297,2065,0.160026708
0500000US21081,"Grant County, Kentucky",2177,121,15943,2172,0.126545254
0500000US21083,"Graves County, Kentucky",2955,168,25295,4114,0.151575221
0500000US21085,"Grayson County, Kentucky",2121,60,17810,1858,0.096232
0500000US21087,"Green County, Kentucky",738,60,7952,951,0.116340621
0500000US21089,"Greenup County, Kentucky",2664,163,25415,4373,0.161544215
0500000US21091,"Hancock County, Kentucky",678,16,5800,636,0.100648348
0500000US21093,"Hardin County, Kentucky",10525,787,70824,16317,0.210254582
0500000US21095,"Harlan County, Kentucky",2050,91,18885,2036,0.101600191
0500000US21097,"Harrison County, Kentucky",1491,148,12900,1913,0.143214509
0500000US21099,"Hart County, Kentucky",1464,74,12550,1477,0.110675039
0500000US21101,"Henderson County, Kentucky",3566,257,31947,5706,0.167910343
0500000US21103,"Henry County, Kentucky",1274,36,10804,1316,0.111939063
0500000US21105,"Hickman County, Kentucky",385,5,3287,577,0.158496732
0500000US21107,"Hopkins County, Kentucky",3366,197,31743,5069,0.149990031
0500000US21109,"Jackson County, Kentucky",1001,33,9317,1136,0.113297151
0500000US21111,"Jefferson County, Kentucky",66583,8679,528360,172885,0.305178815
0500000US21113,"Jessamine County, Kentucky",5341,409,34193,10077,0.265240047
0500000US21115,"Johnson County, Kentucky",1698,44,16060,2399,0.137571799
0500000US21117,"Kenton County, Kentucky",13310,1606,111740,34021,0.284902039
0500000US21119,"Knott County, Kentucky",1652,73,10683,1382,0.117957033
