AD,ED,Candidate,Votes
81,66,Scattered,2
81,67,Public Counter,253
81,67,Manually Counted Emergency,0
81,67,Absentee / Military,150
81,67,Federal,4
81,67,Special Presidential,0
81,67,Affidavit,0
81,67,Joseph R. Biden / Kamala D. Harris (Democratic),263
81,67,Donald J. Trump / Michael R. Pence (Republican),70
81,67,Donald J. Trump / Michael R. Pence (Conservative),4
81,67,Joseph R. Biden / Kamala D. Harris (Working Families),36
81,67,Howie Hawkins / Angela Nicole Walker (Green),1
81,67,Jo Jorgensen / Jeremy Cohen (Libertarian),1
81,67,Brock Pierce / Karla Ballard (Independence),0
81,67,Scattered,2
81,68,Public Counter,382
81,68,Manually Counted Emergency,0
81,68,Absentee / Military,191
81,68,Federal,19
81,68,Special Presidential,0
81,68,Affidavit,8
81,68,Joseph R. Biden / Kamala D. Harris (Democratic),355
81,68,Donald J. Trump / Michael R. Pence (Republican),113
81,68,Donald J. Trump / Michael R. Pence (Conservative),9
81,68,Joseph R. Biden / Kamala D. Harris (Working Families),45
81,68,Howie Hawkins / Angela Nicole Walker (Green),6
81,68,Jo Jorgensen / Jeremy Cohen (Libertarian),2
81,68,Brock Pierce / Karla Ballard (Independence),0
81,68,Scattered,5
81,69,Public Counter,448
81,69,Manually Counted Emergency,0
81,69,Absentee / Military,292
81,69,Federal,22
81,69,Special Presidential,0
81,69,Affidavit,4
81,69,Joseph R. Biden / Kamala D. Harris (Democratic),442
81,69,Donald J. Trump / Michael R. Pence (Republican),156
81,69,Donald J. Trump / Michael R. Pence (Conservative),23
81,69,Joseph R. Biden / Kamala D. Harris (Working Families),41
81,69,Howie Hawkins / Angela Nicole Walker (Green),2
81,69,Jo Jorgensen / Jeremy Cohen (Libertarian),1
81,69,Brock Pierce / Karla Ballard (Independence),1
81,69,Scattered,4
81,70,Public Counter,115
81,70,Manually Counted Emergency,0
81,70,Absentee / Military,75
81,70,Federal,5
81,70,Special Presidential,0
81,70,Affidavit,1
81,70,Joseph R. Biden / Kamala D. Harris (Democratic),99
81,70,Donald J. Trump / Michael R. Pence (Republican),22
81,70,Donald J. Trump / Michael R. Pence (Conservative),2
81,70,Joseph R. Biden / Kamala D. Harris (Working Families),15
81,70,Howie Hawkins / Angela Nicole Walker (Green),0
81,70,Jo Jorgensen / Jeremy Cohen (Libertarian),1
81,70,Brock Pierce / Karla Ballard (Independence),0
81,70,Scattered,1
81,71,Public Counter,324
81,71,Manually Counted Emergency,0
81,71,Absentee / Military,148
81,71,Federal,7
81,71,Special Presidential,0
81,71,Affidavit,1
81,71,Joseph R. Biden / Kamala D. Harris (Democratic),289
81,71,Donald J. Trump / Michael R. Pence (Republican),89
81,71,Donald J. Trump / Michael R. Pence (Conservative),4
81,71,Joseph R. Biden / Kamala D. Harris (Working Families),32
81,71,Howie Hawkins / Angela Nicole Walker (Green),0
81,71,Jo Jorgensen / Jeremy Cohen (Libertarian),2
81,71,Brock Pierce / Karla Ballard (Independence),1
81,72,Public Counter,519
81,72,Manually Counted Emergency,0
81,72,Absentee / Military,218
81,72,Federal,18
81,72,Special Presidential,0
81,72,Affidavit,7
81,72,Joseph R. Biden / Kamala D. Harris (Democratic),508
81,72,Donald J. Trump / Michael R. Pence (Republican),162
81,72,Donald J. Trump / Michael R. Pence (Conservative),18
81,72,Joseph R. Biden / Kamala D. Harris (Working Families),58
81,72,Howie Hawkins / Angela Nicole Walker (Green),3
81,72,Jo Jorgensen / Jeremy Cohen (Libertarian),1
81,72,Brock Pierce / Karla Ballard (Independence),1
81,72,Scattered,5
81,73,Public Counter,541
81,73,Manually Counted Emergency,0
81,73,Absentee / Military,274
81,73,Federal,15
81,73,Special Presidential,0
81,73,Affidavit,5
81,73,Joseph R. Biden / Kamala D. Harris (Democratic),519
81,73,Donald J. Trump / Michael R. Pence (Republican),157
81,73,Donald J. Trump / Michael R. Pence (Conservative),11
81,73,Joseph R. Biden / Kamala D. Harris (Working Families),56
81,73,Howie Hawkins / Angela Nicole Walker (Green),6
81,73,Jo Jorgensen / Jeremy Cohen (Libertarian),4
81,73,Brock Pierce / Karla Ballard (Independence),1
81,73,Scattered,6
81,74,Public Counter,395
81,74,Manually Counted Emergency,0
81,74,Absentee / Military,147
81,74,Federal,7
81,74,Special Presidential,0
81,74,Affidavit,2
81,74,Joseph R. Biden / Kamala D. Harris (Democratic),355
81,74,Donald J. Trump / Michael R. Pence (Republican),94
81,74,Donald J. Trump / Michael R. Pence (Conservative),6
81,74,Joseph R. Biden / Kamala D. Harris (Working Families),53
81,74,Howie Hawkins / Angela Nicole Walker (Green),3
81,74,Jo Jorgensen / Jeremy Cohen (Libertarian),6
81,74,Brock Pierce / Karla Ballard (Independence),1
81,74,Scattered,2
81,75,Public Counter,456
81,75,Manually Counted Emergency,0
81,75,Absentee / Military,193
81,75,Federal,8
81,75,Special Presidential,0
81,75,Affidavit,5
81,75,Joseph R. Biden / Kamala D. Harris (Democratic),445
81,75,Donald J. Trump / Michael R. Pence (Republican),90
81,75,Donald J. Trump / Michael R. Pence (Conservative),12
81,75,Joseph R. Biden / Kamala D. Harris (Working Families),60
81,75,Howie Hawkins / Angela Nicole Walker (Green),4
81,75,Jo Jorgensen / Jeremy Cohen (Libertarian),4
81,75,Brock Pierce / Karla Ballard (Independence),1
81,75,Scattered,1
81,76,Public Counter,359
81,76,Manually Counted Emergency,0
81,76,Absentee / Military,180
81,76,Federal,13
81,76,Special Presidential,0
81,76,Affidavit,0
81,76,Joseph R. Biden / Kamala D. Harris (Democratic),332
81,76,Donald J. Trump / Michael R. Pence (Republican),108
81,76,Donald J. Trump / Michael R. Pence (Conservative),11
81,76,Joseph R. Biden / Kamala D. Harris (Working Families),31
81,76,Howie Hawkins / Angela Nicole Walker (Green),0
81,76,Jo Jorgensen / Jeremy Cohen (Libertarian),3
81,76,Brock Pierce / Karla Ballard (Independence),0
81,76,Scattered,2
81,77,Public Counter,389
81,77,Manually Counted Emergency,0
81,77,Absentee / Military,136
81,77,Federal,5
81,77,Special Presidential,0
81,77,Affidavit,6
81,77,Joseph R. Biden / Kamala D. Harris (Democratic),359
81,77,Donald J. Trump / Michael R. Pence (Republican),87
81,77,Donald J. Trump / Michael R. Pence (Conservative),3
81,77,Joseph R. Biden / Kamala D. Harris (Working Families),77
81,77,Howie Hawkins / Angela Nicole Walker (Green),1
81,77,Jo Jorgensen / Jeremy Cohen (Libertarian),3
81,77,Brock Pierce / Karla Ballard (Independence),1
81,77,Scattered,4
81,78,Public Counter,606
81,78,Manually Counted Emergency,0
81,78,Absentee / Military,224
81,78,Federal,10
81,78,Special Presidential,0
81,78,Affidavit,3
81,78,Joseph R. Biden / Kamala D. Harris (Democratic),564
81,78,Donald J. Trump / Michael R. Pence (Republican),132
81,78,Donald J. Trump / Michael R. Pence (Conservative),15
81,78,Joseph R. Biden / Kamala D. Harris (Working Families),66
81,78,Howie Hawkins / Angela Nicole Walker (Green),6
81,78,Jo Jorgensen / Jeremy Cohen (Libertarian),5
81,78,Brock Pierce / Karla Ballard (Independence),0
81,78,Scattered,2
81,79,Public Counter,389
81,79,Manually Counted Emergency,0
81,79,Absentee / Military,264
81,79,Federal,5
81,79,Special Presidential,0
81,79,Affidavit,2
81,79,Joseph R. Biden / Kamala D. Harris (Democratic),420
81,79,Donald J. Trump / Michael R. Pence (Republican),135
81,79,Donald J. Trump / Michael R. Pence (Conservative),15
81,79,Joseph R. Biden / Kamala D. Harris (Working Families),35
81,79,Howie Hawkins / Angela Nicole Walker (Green),1
81,79,Jo Jorgensen / Jeremy Cohen (Libertarian),5
81,79,Brock Pierce / Karla Ballard (Independence),1
81,79,Scattered,3
81,80,Public Counter,363
81,80,Manually Counted Emergency,0
81,80,Absentee / Military,257
81,80,Federal,7
81,80,Special Presidential,0
81,80,Affidavit,0
81,80,Joseph R. Biden / Kamala D. Harris (Democratic),465
81,80,Donald J. Trump / Michael R. Pence (Republican),65
81,80,Donald J. Trump / Michael R. Pence (Conservative),7
81,80,Joseph R. Biden / Kamala D. Harris (Working Families),53
81,80,Howie Hawkins / Angela Nicole Walker (Green),6
81,80,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,80,Brock Pierce / Karla Ballard (Independence),0
81,80,Scattered,6
81,81,Public Counter,362
81,81,Manually Counted Emergency,0
81,81,Absentee / Military,131
81,81,Federal,5
81,81,Special Presidential,0
81,81,Affidavit,2
81,81,Joseph R. Biden / Kamala D. Harris (Democratic),331
81,81,Donald J. Trump / Michael R. Pence (Republican),58
81,81,Donald J. Trump / Michael R. Pence (Conservative),4
81,81,Joseph R. Biden / Kamala D. Harris (Working Families),68
81,81,Howie Hawkins / Angela Nicole Walker (Green),1
81,81,Jo Jorgensen / Jeremy Cohen (Libertarian),1
81,81,Brock Pierce / Karla Ballard (Independence),0
81,81,Scattered,4
81,82,Public Counter,312
81,82,Manually Counted Emergency,0
81,82,Absentee / Military,157
81,82,Federal,11
81,82,Special Presidential,0
81,82,Affidavit,2
81,82,Joseph R. Biden / Kamala D. Harris (Democratic),328
81,82,Donald J. Trump / Michael R. Pence (Republican),76
81,82,Donald J. Trump / Michael R. Pence (Conservative),6
81,82,Joseph R. Biden / Kamala D. Harris (Working Families),32
81,82,Howie Hawkins / Angela Nicole Walker (Green),2
81,82,Jo Jorgensen / Jeremy Cohen (Libertarian),3
81,82,Brock Pierce / Karla Ballard (Independence),0
81,83,Public Counter,275
81,83,Manually Counted Emergency,0
81,83,Absentee / Military,156
81,83,Federal,1
81,83,Special Presidential,0
81,83,Affidavit,0
81,83,Joseph R. Biden / Kamala D. Harris (Democratic),298
81,83,Donald J. Trump / Michael R. Pence (Republican),78
81,83,Donald J. Trump / Michael R. Pence (Conservative),8
81,83,Joseph R. Biden / Kamala D. Harris (Working Families),30
81,83,Howie Hawkins / Angela Nicole Walker (Green),7
81,83,Jo Jorgensen / Jeremy Cohen (Libertarian),2
81,83,Brock Pierce / Karla Ballard (Independence),0
81,84,Public Counter,498
81,84,Manually Counted Emergency,0
81,84,Absentee / Military,276
81,84,Federal,4
81,84,Special Presidential,0
81,84,Affidavit,2
81,84,Joseph R. Biden / Kamala D. Harris (Democratic),549
81,84,Donald J. Trump / Michael R. Pence (Republican),120
81,84,Donald J. Trump / Michael R. Pence (Conservative),8
81,84,Joseph R. Biden / Kamala D. Harris (Working Families),61
81,84,Howie Hawkins / Angela Nicole Walker (Green),2
81,84,Jo Jorgensen / Jeremy Cohen (Libertarian),5
81,84,Brock Pierce / Karla Ballard (Independence),0
81,84,Scattered,2
81,85,Public Counter,248
81,85,Manually Counted Emergency,0
81,85,Absentee / Military,69
81,85,Federal,4
81,85,Special Presidential,0
81,85,Affidavit,5
81,85,Joseph R. Biden / Kamala D. Harris (Democratic),208
81,85,Donald J. Trump / Michael R. Pence (Republican),60
81,85,Donald J. Trump / Michael R. Pence (Conservative),5
81,85,Joseph R. Biden / Kamala D. Harris (Working Families),35
81,85,Howie Hawkins / Angela Nicole Walker (Green),1
81,85,Jo Jorgensen / Jeremy Cohen (Libertarian),2
81,85,Brock Pierce / Karla Ballard (Independence),2
81,85,Scattered,1
81,86,Public Counter,365
81,86,Manually Counted Emergency,0
81,86,Absentee / Military,170
81,86,Federal,9
81,86,Special Presidential,0
81,86,Affidavit,2
81,86,Joseph R. Biden / Kamala D. Harris (Democratic),335
81,86,Donald J. Trump / Michael R. Pence (Republican),118
81,86,Donald J. Trump / Michael R. Pence (Conservative),11
81,86,Joseph R. Biden / Kamala D. Harris (Working Families),54
81,86,Howie Hawkins / Angela Nicole Walker (Green),4
81,86,Jo Jorgensen / Jeremy Cohen (Libertarian),4
81,86,Brock Pierce / Karla Ballard (Independence),1
81,86,Scattered,2
81,87,Public Counter,327
81,87,Manually Counted Emergency,0
81,87,Absentee / Military,146
81,87,Federal,12
81,87,Special Presidential,0
81,87,Affidavit,3
81,87,Joseph R. Biden / Kamala D. Harris (Democratic),350
81,87,Donald J. Trump / Michael R. Pence (Republican),80
81,87,Donald J. Trump / Michael R. Pence (Conservative),10
81,87,Joseph R. Biden / Kamala D. Harris (Working Families),32
81,87,Howie Hawkins / Angela Nicole Walker (Green),6
81,87,Jo Jorgensen / Jeremy Cohen (Libertarian),2
81,87,Brock Pierce / Karla Ballard (Independence),1
81,87,Scattered,5
81,88,Public Counter,332
81,88,Manually Counted Emergency,0
81,88,Absentee / Military,125
81,88,Federal,4
81,88,Special Presidential,0
81,88,Affidavit,6
81,88,Joseph R. Biden / Kamala D. Harris (Democratic),285
81,88,Donald J. Trump / Michael R. Pence (Republican),117
81,88,Donald J. Trump / Michael R. Pence (Conservative),15
81,88,Joseph R. Biden / Kamala D. Harris (Working Families),45
81,88,Howie Hawkins / Angela Nicole Walker (Green),2
81,88,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,88,Brock Pierce / Karla Ballard (Independence),1
81,88,Scattered,1
81,89,Public Counter,343
81,89,Manually Counted Emergency,0
81,89,Absentee / Military,75
81,89,Federal,6
81,89,Special Presidential,0
81,89,Affidavit,2
81,89,Joseph R. Biden / Kamala D. Harris (Democratic),304
81,89,Donald J. Trump / Michael R. Pence (Republican),58
81,89,Donald J. Trump / Michael R. Pence (Conservative),3
81,89,Joseph R. Biden / Kamala D. Harris (Working Families),44
81,89,Howie Hawkins / Angela Nicole Walker (Green),1
81,89,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,89,Brock Pierce / Karla Ballard (Independence),0
81,90,Public Counter,320
81,90,Manually Counted Emergency,0
81,90,Absentee / Military,149
81,90,Federal,5
81,90,Special Presidential,0
81,90,Affidavit,2
81,90,Joseph R. Biden / Kamala D. Harris (Democratic),340
81,90,Donald J. Trump / Michael R. Pence (Republican),73
81,90,Donald J. Trump / Michael R. Pence (Conservative),6
81,90,Joseph R. Biden / Kamala D. Harris (Working Families),36
81,90,Howie Hawkins / Angela Nicole Walker (Green),3
81,90,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,90,Brock Pierce / Karla Ballard (Independence),0
81,90,Scattered,4
81,91,Public Counter,1
81,91,Manually Counted Emergency,0
81,91,Absentee / Military,285
81,91,Federal,0
81,91,Special Presidential,0
81,91,Affidavit,0
81,91,Joseph R. Biden / Kamala D. Harris (Democratic),227
81,91,Donald J. Trump / Michael R. Pence (Republican),40
81,91,Donald J. Trump / Michael R. Pence (Conservative),2
81,91,Joseph R. Biden / Kamala D. Harris (Working Families),4
81,91,Howie Hawkins / Angela Nicole Walker (Green),1
81,91,Jo Jorgensen / Jeremy Cohen (Libertarian),1
81,91,Brock Pierce / Karla Ballard (Independence),0
81,91,Scattered,1
81,92,Public Counter,305
81,92,Manually Counted Emergency,0
81,92,Absentee / Military,39
81,92,Federal,0
81,92,Special Presidential,0
81,92,Affidavit,6
81,92,Joseph R. Biden / Kamala D. Harris (Democratic),278
81,92,Donald J. Trump / Michael R. Pence (Republican),48
81,92,Donald J. Trump / Michael R. Pence (Conservative),4
81,92,Joseph R. Biden / Kamala D. Harris (Working Families),15
81,92,Howie Hawkins / Angela Nicole Walker (Green),0
81,92,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,92,Brock Pierce / Karla Ballard (Independence),3
81,93,Public Counter,427
81,93,Manually Counted Emergency,0
81,93,Absentee / Military,98
81,93,Federal,1
81,93,Special Presidential,0
81,93,Affidavit,15
81,93,Joseph R. Biden / Kamala D. Harris (Democratic),426
81,93,Donald J. Trump / Michael R. Pence (Republican),71
81,93,Donald J. Trump / Michael R. Pence (Conservative),5
81,93,Joseph R. Biden / Kamala D. Harris (Working Families),20
81,93,Howie Hawkins / Angela Nicole Walker (Green),0
81,93,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,93,Brock Pierce / Karla Ballard (Independence),0
81,94,Public Counter,347
81,94,Manually Counted Emergency,0
81,94,Absentee / Military,108
81,94,Federal,0
81,94,Special Presidential,0
81,94,Affidavit,3
81,94,Joseph R. Biden / Kamala D. Harris (Democratic),390
81,94,Donald J. Trump / Michael R. Pence (Republican),40
81,94,Donald J. Trump / Michael R. Pence (Conservative),4
81,94,Joseph R. Biden / Kamala D. Harris (Working Families),19
81,94,Howie Hawkins / Angela Nicole Walker (Green),0
81,94,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,94,Brock Pierce / Karla Ballard (Independence),0
81,94,Scattered,3
81,95,Public Counter,234
81,95,Manually Counted Emergency,0
81,95,Absentee / Military,44
81,95,Federal,1
81,95,Special Presidential,0
81,95,Affidavit,6
81,95,Joseph R. Biden / Kamala D. Harris (Democratic),177
81,95,Donald J. Trump / Michael R. Pence (Republican),80
81,95,Donald J. Trump / Michael R. Pence (Conservative),2
81,95,Joseph R. Biden / Kamala D. Harris (Working Families),17
81,95,Howie Hawkins / Angela Nicole Walker (Green),4
81,95,Jo Jorgensen / Jeremy Cohen (Libertarian),1
81,95,Brock Pierce / Karla Ballard (Independence),1
81,95,Scattered,1
81,96,Public Counter,277
81,96,Manually Counted Emergency,0
81,96,Absentee / Military,113
81,96,Federal,1
81,96,Special Presidential,0
81,96,Affidavit,8
81,96,Joseph R. Biden / Kamala D. Harris (Democratic),305
81,96,Donald J. Trump / Michael R. Pence (Republican),65
81,96,Donald J. Trump / Michael R. Pence (Conservative),8
81,96,Joseph R. Biden / Kamala D. Harris (Working Families),18
81,96,Howie Hawkins / Angela Nicole Walker (Green),0
81,96,Jo Jorgensen / Jeremy Cohen (Libertarian),2
81,96,Brock Pierce / Karla Ballard (Independence),0
81,97,Public Counter,440
81,97,Manually Counted Emergency,0
81,97,Absentee / Military,62
81,97,Federal,2
81,97,Special Presidential,0
81,97,Affidavit,8
81,97,Joseph R. Biden / Kamala D. Harris (Democratic),428
81,97,Donald J. Trump / Michael R. Pence (Republican),45
81,97,Donald J. Trump / Michael R. Pence (Conservative),4
81,97,Joseph R. Biden / Kamala D. Harris (Working Families),23
81,97,Howie Hawkins / Angela Nicole Walker (Green),4
81,97,Jo Jorgensen / Jeremy Cohen (Libertarian),2
81,97,Brock Pierce / Karla Ballard (Independence),0
81,97,Scattered,1
81,98,Public Counter,410
81,98,Manually Counted Emergency,0
81,98,Absentee / Military,105
81,98,Federal,2
81,98,Special Presidential,0
81,98,Affidavit,5
81,98,Joseph R. Biden / Kamala D. Harris (Democratic),383
81,98,Donald J. Trump / Michael R. Pence (Republican),60
81,98,Donald J. Trump / Michael R. Pence (Conservative),7
81,98,Joseph R. Biden / Kamala D. Harris (Working Families),43
81,98,Howie Hawkins / Angela Nicole Walker (Green),1
81,98,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,98,Brock Pierce / Karla Ballard (Independence),0
81,98,Scattered,1
81,99,Public Counter,527
81,99,Manually Counted Emergency,0
81,99,Absentee / Military,133
81,99,Federal,4
81,99,Special Presidential,0
81,99,Affidavit,7
81,99,Joseph R. Biden / Kamala D. Harris (Democratic),466
81,99,Donald J. Trump / Michael R. Pence (Republican),108
81,99,Donald J. Trump / Michael R. Pence (Conservative),3
81,99,Joseph R. Biden / Kamala D. Harris (Working Families),24
81,99,Howie Hawkins / Angela Nicole Walker (Green),2
81,99,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,99,Brock Pierce / Karla Ballard (Independence),1
81,99,Scattered,2
81,100,Public Counter,336
81,100,Manually Counted Emergency,0
81,100,Absentee / Military,73
81,100,Federal,1
81,100,Special Presidential,0
81,100,Affidavit,14
81,100,Joseph R. Biden / Kamala D. Harris (Democratic),326
81,100,Donald J. Trump / Michael R. Pence (Republican),63
81,100,Donald J. Trump / Michael R. Pence (Conservative),9
81,100,Joseph R. Biden / Kamala D. Harris (Working Families),23
81,100,Howie Hawkins / Angela Nicole Walker (Green),1
81,100,Jo Jorgensen / Jeremy Cohen (Libertarian),1
81,100,Brock Pierce / Karla Ballard (Independence),0
81,101,Public Counter,0
81,101,Manually Counted Emergency,0
81,101,Absentee / Military,0
81,101,Federal,0
81,101,Special Presidential,0
81,101,Affidavit,0
81,102,Public Counter,0
81,102,Manually Counted Emergency,0
81,102,Absentee / Military,0
81,102,Federal,0
81,102,Special Presidential,0
81,102,Affidavit,0
81,102,Joseph R. Biden / Kamala D. Harris (Democratic),0
81,102,Donald J. Trump / Michael R. Pence (Republican),0
81,102,Donald J. Trump / Michael R. Pence (Conservative),0
81,102,Joseph R. Biden / Kamala D. Harris (Working Families),0
81,102,Howie Hawkins / Angela Nicole Walker (Green),0
81,102,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,102,Brock Pierce / Karla Ballard (Independence),0
81,103,Public Counter,0
81,103,Manually Counted Emergency,0
81,103,Absentee / Military,0
81,103,Federal,0
81,103,Special Presidential,0
81,103,Affidavit,0
81,104,Public Counter,0
81,104,Manually Counted Emergency,0
81,104,Absentee / Military,0
81,104,Federal,0
81,104,Special Presidential,0
81,104,Affidavit,0
81,104,Joseph R. Biden / Kamala D. Harris (Democratic),0
81,104,Donald J. Trump / Michael R. Pence (Republican),0
81,104,Donald J. Trump / Michael R. Pence (Conservative),0
81,104,Joseph R. Biden / Kamala D. Harris (Working Families),0
81,104,Howie Hawkins / Angela Nicole Walker (Green),0
81,104,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,104,Brock Pierce / Karla Ballard (Independence),0
81,105,Public Counter,0
81,105,Manually Counted Emergency,0
81,105,Absentee / Military,0
81,105,Federal,0
81,105,Special Presidential,0
81,105,Affidavit,0
81,105,Joseph R. Biden / Kamala D. Harris (Democratic),0
81,105,Donald J. Trump / Michael R. Pence (Republican),0
81,105,Donald J. Trump / Michael R. Pence (Conservative),0
81,105,Joseph R. Biden / Kamala D. Harris (Working Families),0
81,105,Howie Hawkins / Angela Nicole Walker (Green),0
81,105,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,105,Brock Pierce / Karla Ballard (Independence),0
81,106,Public Counter,0
81,106,Manually Counted Emergency,0
81,106,Absentee / Military,0
81,106,Federal,0
81,106,Special Presidential,0
81,106,Affidavit,0
81,106,Joseph R. Biden / Kamala D. Harris (Democratic),0
81,106,Donald J. Trump / Michael R. Pence (Republican),0
81,106,Donald J. Trump / Michael R. Pence (Conservative),0
81,106,Joseph R. Biden / Kamala D. Harris (Working Families),0
81,106,Howie Hawkins / Angela Nicole Walker (Green),0
81,106,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,106,Brock Pierce / Karla Ballard (Independence),0
81,107,Public Counter,200
81,107,Manually Counted Emergency,1
81,107,Absentee / Military,37
81,107,Federal,0
81,107,Special Presidential,0
81,107,Affidavit,6
81,107,Joseph R. Biden / Kamala D. Harris (Democratic),209
81,107,Donald J. Trump / Michael R. Pence (Republican),22
81,107,Donald J. Trump / Michael R. Pence (Conservative),4
81,107,Joseph R. Biden / Kamala D. Harris (Working Families),6
81,107,Howie Hawkins / Angela Nicole Walker (Green),1
81,107,Jo Jorgensen / Jeremy Cohen (Libertarian),0
81,107,Brock Pierce / Karla Ballard (Independence),0
81,107,Scattered,1
82,1,Public Counter,580
82,1,Manually Counted Emergency,0
82,1,Absentee / Military,82
82,1,Federal,1
82,1,Special Presidential,0
82,1,Affidavit,5
82,1,Joseph R. Biden / Kamala D. Harris (Democratic),183
82,1,Donald J. Trump / Michael R. Pence (Republican),380
82,1,Donald J. Trump / Michael R. Pence (Conservative),42
82,1,Joseph R. Biden / Kamala D. Harris (Working Families),24
82,1,Howie Hawkins / Angela Nicole Walker (Green),2
82,1,Jo Jorgensen / Jeremy Cohen (Libertarian),6
82,1,Brock Pierce / Karla Ballard (Independence),0
82,1,Scattered,5
82,2,Public Counter,525
82,2,Manually Counted Emergency,0
82,2,Absentee / Military,88
82,2,Federal,1
82,2,Special Presidential,0
82,2,Affidavit,13
82,2,Joseph R. Biden / Kamala D. Harris (Democratic),279
82,2,Donald J. Trump / Michael R. Pence (Republican),288
82,2,Donald J. Trump / Michael R. Pence (Conservative),33
82,2,Joseph R. Biden / Kamala D. Harris (Working Families),14
82,2,Howie Hawkins / Angela Nicole Walker (Green),2
82,2,Jo Jorgensen / Jeremy Cohen (Libertarian),4
82,2,Brock Pierce / Karla Ballard (Independence),1
82,2,Scattered,4
82,3,Public Counter,362
82,3,Manually Counted Emergency,0
82,3,Absentee / Military,40
82,3,Federal,0
82,3,Special Presidential,0
82,3,Affidavit,11
82,3,Joseph R. Biden / Kamala D. Harris (Democratic),124
82,3,Donald J. Trump / Michael R. Pence (Republican),253
82,3,Donald J. Trump / Michael R. Pence (Conservative),22
82,3,Joseph R. Biden / Kamala D. Harris (Working Families),7
82,3,Howie Hawkins / Angela Nicole Walker (Green),0
82,3,Jo Jorgensen / Jeremy Cohen (Libertarian),2
82,3,Brock Pierce / Karla Ballard (Independence),0
82,3,Scattered,2
82,4,Public Counter,528
82,4,Manually Counted Emergency,0
82,4,Absentee / Military,63
82,4,Federal,2
82,4,Special Presidential,0
82,4,Affidavit,13
82,4,Joseph R. Biden / Kamala D. Harris (Democratic),170
82,4,Donald J. Trump / Michael R. Pence (Republican),326
82,4,Donald J. Trump / Michael R. Pence (Conservative),25
82,4,Joseph R. Biden / Kamala D. Harris (Working Families),14
82,4,Howie Hawkins / Angela Nicole Walker (Green),2
82,4,Jo Jorgensen / Jeremy Cohen (Libertarian),1
82,4,Brock Pierce / Karla Ballard (Independence),1
82,4,Scattered,2
82,5,Public Counter,672
82,5,Manually Counted Emergency,0
82,5,Absentee / Military,74
82,5,Federal,1
82,5,Special Presidential,0
82,5,Affidavit,9
82,5,Joseph R. Biden / Kamala D. Harris (Democratic),347
82,5,Donald J. Trump / Michael R. Pence (Republican),305
82,5,Donald J. Trump / Michael R. Pence (Conservative),26
82,5,Joseph R. Biden / Kamala D. Harris (Working Families),15
82,5,Howie Hawkins / Angela Nicole Walker (Green),2
82,5,Jo Jorgensen / Jeremy Cohen (Libertarian),2
82,5,Brock Pierce / Karla Ballard (Independence),1
82,5,Scattered,2
82,6,Public Counter,518
82,6,Manually Counted Emergency,0
82,6,Absentee / Military,168
82,6,Federal,4
82,6,Special Presidential,0
82,6,Affidavit,9
82,6,Joseph R. Biden / Kamala D. Harris (Democratic),370
82,6,Donald J. Trump / Michael R. Pence (Republican),231
82,6,Donald J. Trump / Michael R. Pence (Conservative),21
82,6,Joseph R. Biden / Kamala D. Harris (Working Families),20
82,6,Howie Hawkins / Angela Nicole Walker (Green),1
82,6,Jo Jorgensen / Jeremy Cohen (Libertarian),1
82,6,Brock Pierce / Karla Ballard (Independence),0
82,7,Public Counter,538
82,7,Manually Counted Emergency,0
82,7,Absentee / Military,58
82,7,Federal,1
82,7,Special Presidential,0
82,7,Affidavit,8
82,7,Joseph R. Biden / Kamala D. Harris (Democratic),305
82,7,Donald J. Trump / Michael R. Pence (Republican),214
82,7,Donald J. Trump / Michael R. Pence (Conservative),29
82,7,Joseph R. Biden / Kamala D. Harris (Working Families),20
82,7,Howie Hawkins / Angela Nicole Walker (Green),0
82,7,Jo Jorgensen / Jeremy Cohen (Libertarian),1
82,7,Brock Pierce / Karla Ballard (Independence),1
82,7,Scattered,4
82,8,Public Counter,606
82,8,Manually Counted Emergency,0
82,8,Absentee / Military,108
82,8,Federal,0
82,8,Special Presidential,0
82,8,Affidavit,10
82,8,Joseph R. Biden / Kamala D. Harris (Democratic),492
82,8,Donald J. Trump / Michael R. Pence (Republican),179
82,8,Donald J. Trump / Michael R. Pence (Conservative),15
82,8,Joseph R. Biden / Kamala D. Harris (Working Families),29
82,8,Howie Hawkins / Angela Nicole Walker (Green),2
82,8,Jo Jorgensen / Jeremy Cohen (Libertarian),1
82,8,Brock Pierce / Karla Ballard (Independence),2
82,8,Scattered,1
82,9,Public Counter,552
82,9,Manually Counted Emergency,0
82,9,Absentee / Military,83
82,9,Federal,2
82,9,Special Presidential,0
82,9,Affidavit,10
